case,source_kind,under,curveRMS,curveBIAS,settle10,dfmax,dfrate,yawmax,aymax,J_reported
Case A,saved_ABC_comparison,0.134362931833074,0.203601153141395,0.0589066132819947,54.43,5.41561314397964,1.17691881800118,11.2650917372344,4.36917647453218,1385.10956113469
Case B,saved_ABC_comparison,0.0698657789451786,0.00368107529765867,0.000480174975233414,1.07,5.41561314397964,1.33330230945903,11.1040314634678,4.30670909516795,0.682052732634825
Case C,saved_ABC_comparison,0.134362931833074,0.0102948741802105,0.00961224625474934,2.14,5.41561314397964,1.31865717776217,11.2650917372344,4.36917647453218,5.66220485395474
Reported ML,report_and_existing_dataset_rank,0.0682673034982457,0.0059221688174086,3.02068282730934e-05,1.22,3.88693318298916,0.982659206068172,8.5861052342716,3.33012902801685,0.5589648261360487
